ID_Paciente,Nome,Data_Nascimento,Sexo,CPF,Cartao_SUS,Nome_Mãe,Etnia,Escolaridade,Estado_Civil,Naturalidade
702,Marcelo Aragão,1967-08-14,Masculino,578.902.416-58,137879236312065,Bárbara Campos,Negra,Ensino Fundamental,Divorciado(a),Fernandes
481,Sra. Eloah Pinto,1990-11-25,Masculino,105.426.938-60,874595333210063,Maria Luiza Jesus,Indígena,Ensino Médio,Solteiro(a),das Neves
799,Matheus da Conceição,1972-03-12,Feminino,896.457.103-75,340700942544272,Sra. Yasmin Silva,Parda,Ensino Fundamental,Solteiro(a),da Luz Grande
633,Luiz Otávio Cunha,1938-02-12,Masculino,120.985.463-51,305971483324620,Maria Sophia Nunes,Negra,Ensino Médio,Divorciado(a),Nogueira
932,Manuela da Luz,1974-11-12,Masculino,698.543.702-83,222510753981510,Eloah Nascimento,Negra,Ensino Médio,Divorciado(a),da Luz
190,Leandro da Mota,1952-12-31,Masculino,345.916.027-61,205862002699837,Rebeca Lopes,Parda,Ensino Médio,Viúvo(a),Oliveira
877,Davi Lucca Cardoso,1975-08-31,Feminino,893.756.012-77,75180527778981,Maria Julia Alves,Negra,Ensino Superior,Divorciado(a),Ribeiro
626,Srta. Juliana Costa,1934-11-10,Masculino,082.754.936-92,458718786183561,Lívia Vieira,Negra,Ensino Médio,Divorciado(a),da Mata da Prata
921,Dra. Maysa Cavalcanti,1949-11-07,Masculino,380.159.762-86,874861108932340,Maria Luiza Souza,Parda,Ensino Médio,Casado(a),da Luz
777,Rafaela Moraes,1934-01-31,Feminino,384.671.920-03,886275629485913,Juliana Moreira,Indígena,Ensino Fundamental,Solteiro(a),Azevedo
725,Evelyn Porto,1949-07-25,Masculino,790.361.825-30,125604092179513,Maria Alice da Costa,Branca,Ensino Superior,Casado(a),da Conceição
240,Dr. Davi Azevedo,1950-01-26,Masculino,183.207.965-12,738096217350386,Kamilly da Cunha,Amarela,Ensino Médio,Solteiro(a),Costela
231,Lara Oliveira,1991-11-17,Masculino,405.831.976-39,713651448491227,Daniela Monteiro,Amarela,Ensino Superior,Viúvo(a),Gomes
284,Enzo Gabriel Gonçalves,1959-01-27,Feminino,782.954.613-46,700120918863047,Rafaela Viana,Amarela,Ensino Fundamental,Divorciado(a),Costa
140,Cecília da Mota,1980-10-09,Masculino,389.461.725-09,355279266826249,Ana Laura Lopes,Negra,Ensino Fundamental,Casado(a),Rezende
79,Larissa Santos,1979-04-14,Masculino,502.749.638-92,438091467720516,Dra. Ana Júlia Vieira,Parda,Ensino Superior,Viúvo(a),Silveira
318,Sofia Rocha,1956-03-17,Masculino,384.105.762-44,725727653240044,Luna das Neves,Amarela,Ensino Superior,Solteiro(a),Almeida do Sul
606,Dra. Maria Julia da Luz,2005-09-08,Feminino,563.214.798-37,528395078957765,Maria da Conceição,Parda,Ensino Fundamental,Casado(a),Mendes Paulista
347,Ana Vitória Sales,1942-09-17,Feminino,139.278.560-02,554744271199139,Maria Fernanda Peixoto,Branca,Ensino Médio,Viúvo(a),Fernandes de Pires
498,Daniel Aragão,1980-02-03,Masculino,436.215.809-05,114265678801723,Juliana Pinto,Branca,Ensino Fundamental,Viúvo(a),Correia do Norte
451,Maysa Santos,1977-12-12,Masculino,736.218.590-12,429159532278571,Sofia Ribeiro,Amarela,Ensino Médio,Casado(a),Rezende das Pedras
283,Noah Mendes,1969-07-10,Feminino,320.195.847-60,588138675078395,Sarah Ramos,Negra,Ensino Médio,Solteiro(a),Azevedo de Goiás
576,Enzo Melo,2003-07-12,Masculino,249.187.350-88,371653917745683,Ana Lívia Silva,Branca,Ensino Superior,Viúvo(a),Moura
147,Isabella Ferreira,2006-09-03,Masculino,468.157.093-10,35196310161829,Natália Moura,Negra,Ensino Superior,Solteiro(a),Souza de Mendes
